Sample,Family ID,Population,Gender
HG00096,HG00096,GBR,male
HG00097,HG00097,GBR,female
HG00098,HG00098,GBR,male
HG00099,HG00099,GBR,female
HG00100,HG00100,GBR,female
HG00101,HG00101,GBR,male
HG00102,HG00102,GBR,female
HG00103,HG00103,GBR,male
HG00104,HG00104,GBR,female
HG00105,HG00105,GBR,male
HG00106,HG00106,GBR,female
HG00107,HG00107,GBR,male
HG00108,HG00108,GBR,male
HG00109,HG00109,GBR,male
HG00110,HG00110,GBR,female
HG00111,HG00111,GBR,female
HG00112,HG00112,GBR,male
HG00113,HG00113,GBR,male
HG00114,HG00114,GBR,male
HG00115,HG00115,GBR,male
HG00116,HG00116,GBR,male
HG00117,HG00117,GBR,male
HG00118,HG00118,GBR,female
HG00119,HG00119,GBR,male
HG00120,HG00120,GBR,female
HG00121,HG00121,GBR,female
HG00122,HG00122,GBR,female
HG00123,HG00123,GBR,female
HG00124,HG00124,GBR,female
HG00125,HG00125,GBR,female
HG00126,HG00126,GBR,male
HG00127,HG00127,GBR,female
HG00128,HG00128,GBR,female
HG00129,HG00129,GBR,male
HG00130,HG00130,GBR,female
HG00131,HG00131,GBR,male
HG00132,HG00132,GBR,female
HG00133,HG00133,GBR,female
HG00134,HG00134,GBR,female
HG00135,HG00135,GBR,female
HG00136,HG00136,GBR,male
HG00137,HG00137,GBR,female
HG00138,HG00138,GBR,male
HG00139,HG00139,GBR,male
HG00140,HG00140,GBR,male
HG00141,HG00141,GBR,male
HG00142,HG00142,GBR,male
HG00143,HG00143,GBR,male
HG00144,GBR001,GBR,female
HG00145,HG00145,GBR,male
HG00146,GBR002,GBR,female
HG00147,GBR002a,GBR,female
HG00148,HG00148,GBR,male
HG00149,HG00149,GBR,male
HG00150,HG00150,GBR,female
HG00151,HG00151,GBR,male
HG00152,HG00152,GBR,male
HG00153,GBR003,GBR,female
HG00154,HG00154,GBR,female
HG00155,GBR001,GBR,male
HG00156,HG00156,GBR,male
HG00157,HG00157,GBR,male
HG00158,GBR003,GBR,female
HG00159,HG00159,GBR,male
HG00160,HG00160,GBR,male
HG00171,HG00171,FIN,female
HG00173,HG00173,FIN,female
HG00174,HG00174,FIN,female
HG00176,HG00176,FIN,female
HG00177,HG00177,FIN,female
HG00178,HG00178,FIN,female
HG00179,HG00179,FIN,female
HG00180,HG00180,FIN,female
HG00181,HG00181,FIN,male
HG00182,HG00182,FIN,male
HG00183,HG00183,FIN,male
HG00185,HG00185,FIN,male
HG00186,HG00186,FIN,male
HG00187,HG00187,FIN,male
HG00188,HG00188,FIN,male
HG00189,HG00189,FIN,male
HG00190,HG00190,FIN,male
HG00231,HG00231,GBR,female
HG00232,HG00232,GBR,female
HG00233,HG00233,GBR,female
HG00234,HG00234,GBR,male
HG00235,HG00235,GBR,female
HG00236,HG00236,GBR,female
HG00237,HG00237,GBR,female
HG00238,HG00238,GBR,female
HG00239,HG00239,GBR,female
HG00240,HG00240,GBR,female
HG00242,HG00242,GBR,male
HG00243,HG00243,GBR,male
HG00244,HG00244,GBR,male
HG00245,HG00245,GBR,female
HG00246,HG00246,GBR,male
HG00247,GBR004,GBR,female
HG00248,GBR004,GBR,female
HG00249,HG00249,GBR,female
HG00250,HG00250,GBR,female
HG00251,HG00251,GBR,male
HG00252,HG00252,GBR,male
HG00253,HG00253,GBR,female
HG00254,HG00254,GBR,female
HG00255,HG00255,GBR,female
HG00256,HG00256,GBR,male
HG00257,HG00257,GBR,female
HG00258,HG00258,GBR,female
HG00259,HG00259,GBR,female
HG00260,HG00260,GBR,male
HG00261,HG00261,GBR,female
HG00262,HG00262,GBR,female
HG00263,HG00263,GBR,female
HG00264,HG00264,GBR,male
HG00265,HG00265,GBR,male
HG00266,HG00266,FIN,female
HG00267,HG00267,FIN,male
HG00268,HG00268,FIN,female
HG00269,HG00269,FIN,female
HG00270,HG00270,FIN,female
HG00271,HG00271,FIN,male
HG00272,HG00272,FIN,female
HG00273,HG00273,FIN,male
HG00274,HG00274,FIN,female
HG00275,HG00275,FIN,female
HG00276,HG00276,FIN,female
HG00277,HG00277,FIN,male
HG00278,HG00278,FIN,male
HG00280,HG00280,FIN,male
HG00281,HG00281,FIN,female
HG00282,HG00282,FIN,female
HG00284,HG00284,FIN,male
HG00285,HG00285,FIN,female
HG00288,HG00288,FIN,female
HG00290,HG00290,FIN,male
HG00302,HG00302,FIN,female
HG00303,HG00303,FIN,male
HG00304,HG00304,FIN,female
